sample_id,method,status,SAD,MSE,MAE_x1000,Boundary_SAD,alpha_path_pred
0001_3,sam2_bbox_binary,ok,1923.027588,0.000282231282,0.671411,1845.541138,outputs/sam2_bbox_binary/0001_3/alpha.png
0003_0,sam2_bbox_binary,ok,1090.643066,0.000176094269,0.394269,1087.090210,outputs/sam2_bbox_binary/0003_0/alpha.png
0003_1,sam2_bbox_binary,ok,1475.094360,0.000237580884,0.533249,1469.282471,outputs/sam2_bbox_binary/0003_1/alpha.png
0003_10,sam2_bbox_binary,ok,506.839142,0.000094252267,0.183223,483.000000,outputs/sam2_bbox_binary/0003_10/alpha.png
0003_11,sam2_bbox_binary,ok,4529.137207,0.001308496459,1.637290,2815.545166,outputs/sam2_bbox_binary/0003_11/alpha.png
0003_15,sam2_bbox_binary,ok,365.035278,0.000069603528,0.131961,343.831360,outputs/sam2_bbox_binary/0003_15/alpha.png
0003_16,sam2_bbox_binary,ok,286.890198,0.000049504466,0.103711,278.874512,outputs/sam2_bbox_binary/0003_16/alpha.png
0003_17,sam2_bbox_binary,ok,217.219604,0.000039079856,0.078525,215.054901,outputs/sam2_bbox_binary/0003_17/alpha.png
0003_18,sam2_bbox_binary,ok,2018.537354,0.000626958150,0.729704,1070.564697,outputs/sam2_bbox_binary/0003_18/alpha.png
0003_2,sam2_bbox_binary,ok,1257.211548,0.000278856256,0.454484,1254.317627,outputs/sam2_bbox_binary/0003_2/alpha.png
0003_23,sam2_bbox_binary,ok,655.349060,0.000156224822,0.236910,596.309814,outputs/sam2_bbox_binary/0003_23/alpha.png
0003_24,sam2_bbox_binary,ok,1729.321411,0.000413807662,0.625152,1577.027588,outputs/sam2_bbox_binary/0003_24/alpha.png
0003_25,sam2_bbox_binary,ok,30118.011719,0.010665902868,10.887708,2447.250977,outputs/sam2_bbox_binary/0003_25/alpha.png
0003_27,sam2_bbox_binary,ok,2576.914062,0.000626752560,0.931558,2276.447266,outputs/sam2_bbox_binary/0003_27/alpha.png
0003_28,sam2_bbox_binary,ok,343.807831,0.000053643424,0.124287,342.913727,outputs/sam2_bbox_binary/0003_28/alpha.png
0003_31,sam2_bbox_binary,ok,420.137238,0.000094206960,0.151880,402.168640,outputs/sam2_bbox_binary/0003_31/alpha.png
0003_39,sam2_bbox_binary,ok,1986.552979,0.000593402365,0.718142,1047.827393,outputs/sam2_bbox_binary/0003_39/alpha.png
0003_43,sam2_bbox_binary,ok,235.321564,0.000066219909,0.085069,218.270599,outputs/sam2_bbox_binary/0003_43/alpha.png
0003_45,sam2_bbox_binary,ok,1006.278442,0.000187495607,0.363771,994.552917,outputs/sam2_bbox_binary/0003_45/alpha.png
0003_52,sam2_bbox_binary,ok,2104.835205,0.000618617632,0.760901,1263.580322,outputs/sam2_bbox_binary/0003_52/alpha.png
0003_55,sam2_bbox_binary,ok,1326.999878,0.000320406281,0.479713,1065.686279,outputs/sam2_bbox_binary/0003_55/alpha.png
